month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-04-01,V06C,1,1,100.0,1,100.0,1,0.0,0.0,,0
2023-04-01,V06D,1,1,100.0,1,100.0,1,5900.0,0.0,,0
2023-05-01,A02B,60,46,76.67,45,97.83,53,91.67,38.0,0.0,0
2023-05-01,A03A,6,5,83.33,5,100.0,5,1016.67,2.0,0.0,0
2023-05-01,A03F,6,2,33.33,1,50.0,5,775.0,6.0,0.0,1
2023-05-01,A05B,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-05-01,A06A,1,1,100.0,1,100.0,1,6800.0,1.0,,0
2023-05-01,A07A,2,1,50.0,1,100.0,2,2325.0,2.0,0.0,1
2023-05-01,A07E,1,1,100.0,1,100.0,1,8300.0,0.0,,0
2023-05-01,A10A,6,6,100.0,6,100.0,6,900.0,3.0,,0
2023-05-01,A10B,23,15,65.22,13,86.67,22,234.78,15.0,0.0,1
2023-05-01,A11C,12,9,75.0,9,100.0,10,616.67,10.0,0.0,0
2023-05-01,A11D,5,5,100.0,4,80.0,4,1520.0,2.0,,0
2023-05-01,A11E,3,0,0.0,0,,3,2233.33,3.0,0.0,1
2023-05-01,A11H,2,2,100.0,2,100.0,2,2200.0,1.0,,0
2023-05-01,A12A,8,7,87.5,7,100.0,6,931.25,8.0,0.0,0
2023-05-01,A12B,8,5,62.5,3,60.0,8,706.25,8.0,0.0,1
2023-05-01,A12C,2,1,50.0,1,100.0,2,2450.0,1.0,0.0,1
2023-05-01,A16A,2,1,50.0,1,100.0,2,2775.0,2.0,,1
2023-05-01,B01A,31,27,87.1,27,100.0,30,209.68,21.0,0.0,0
2023-05-01,B03A,13,7,53.85,7,100.0,13,500.0,11.0,0.0,1
2023-05-01,B03B,3,2,66.67,2,100.0,3,2600.0,2.0,0.0,1
2023-05-01,C01A,1,1,100.0,0,0.0,1,6500.0,1.0,,0
2023-05-01,C01D,10,9,90.0,9,100.0,10,645.0,7.0,0.0,0
2023-05-01,C01E,11,6,54.55,6,100.0,9,563.64,5.0,0.0,1
2023-05-01,C02A,19,11,57.89,11,100.0,16,331.58,15.0,0.0,1
2023-05-01,C02C,4,1,25.0,1,100.0,4,1837.5,3.0,0.0,1
2023-05-01,C03B,18,6,33.33,5,83.33,14,294.44,15.0,0.0,1
2023-05-01,C03C,13,11,84.62,10,90.91,13,446.15,11.0,0.0,0
2023-05-01,C03D,8,6,75.0,6,100.0,8,781.25,7.0,0.0,0
2023-05-01,C03E,3,3,100.0,3,100.0,3,2466.67,3.0,,0
2023-05-01,C04A,8,7,87.5,6,85.71,8,743.75,4.0,,0
2023-05-01,C05C,1,0,0.0,0,,1,5300.0,0.0,0.0,1
2023-05-01,C07A,57,46,80.7,44,95.65,51,101.75,43.0,0.0,0
2023-05-01,C08C,25,15,60.0,15,100.0,21,248.0,17.0,0.0,1
2023-05-01,C09A,38,24,63.16,21,87.5,33,147.37,23.0,0.0,1
2023-05-01,C09B,50,39,78.0,38,97.44,42,122.0,34.0,0.0,0
2023-05-01,C09C,12,10,83.33,10,100.0,10,487.5,10.0,0.0,0
2023-05-01,C09D,10,8,80.0,8,100.0,6,595.0,7.0,0.0,0
2023-05-01,C10A,49,23,46.94,22,95.65,47,120.41,34.0,0.0,1
2023-05-01,C10B,1,1,100.0,1,100.0,1,4000.0,1.0,,0
2023-05-01,D01A,3,2,66.67,2,100.0,3,1566.67,2.0,0.0,1
2023-05-01,D02A,1,0,0.0,0,,1,4500.0,0.0,0.0,1
2023-05-01,D06A,2,1,50.0,1,100.0,2,2275.0,1.0,,1
2023-05-01,D07A,4,1,25.0,1,100.0,4,500.0,2.0,0.0,1
2023-05-01,D07C,3,3,100.0,3,100.0,3,1566.67,1.0,,0
2023-05-01,D08A,1,1,100.0,1,100.0,1,6900.0,1.0,,0
2023-05-01,D11A,2,1,50.0,1,100.0,2,2550.0,1.0,0.0,1
2023-05-01,G01A,2,2,100.0,2,100.0,2,1900.0,2.0,,0
2023-05-01,G03A,1,1,100.0,1,100.0,1,3300.0,1.0,,0
2023-05-01,G03F,1,1,100.0,1,100.0,1,3900.0,1.0,,0
2023-05-01,G04C,3,3,100.0,3,100.0,3,2600.0,0.0,,0
2023-05-01,H02A,3,3,100.0,3,100.0,3,2200.0,2.0,,0
2023-05-01,H03A,5,4,80.0,4,100.0,5,1160.0,5.0,0.0,0
2023-05-01,H03B,4,4,100.0,3,75.0,4,1500.0,2.0,,0
2023-05-01,ISMT,7,4,57.14,2,50.0,7,714.29,4.0,0.0,1
2023-05-01,J01A,2,1,50.0,1,100.0,2,2275.0,1.0,0.0,1
2023-05-01,J01C,25,18,72.0,17,94.44,25,180.0,16.0,0.0,0
2023-05-01,J01D,15,9,60.0,8,88.89,15,253.33,9.0,0.0,1
2023-05-01,J01E,4,3,75.0,2,66.67,4,762.5,3.0,0.0,0
2023-05-01,J01F,14,9,64.29,7,77.78,14,321.43,9.0,0.0,1
2023-05-01,J01M,10,9,90.0,9,100.0,10,520.0,7.0,0.0,0
2023-05-01,J01X,4,2,50.0,1,50.0,4,1100.0,3.0,0.0,1
2023-05-01,J02A,1,1,100.0,1,100.0,1,3300.0,1.0,,0
2023-05-01,J05A,1,1,100.0,0,0.0,1,1100.0,1.0,,0
2023-05-01,L01B,1,1,100.0,1,100.0,1,6100.0,0.0,,0
2023-05-01,L04A,2,2,100.0,2,100.0,2,3200.0,1.0,,0
2023-05-01,M01A,51,38,74.51,36,94.74,47,103.92,32.0,0.0,0
2023-05-01,M02A,6,5,83.33,4,80.0,6,941.67,4.0,0.0,0
2023-05-01,M03B,13,10,76.92,9,90.0,12,446.15,8.0,0.0,0
2023-05-01,M04A,10,9,90.0,9,100.0,8,585.0,6.0,0.0,0
2023-05-01,M05B,2,2,100.0,2,100.0,1,3800.0,2.0,,0
2023-05-01,MISSING,55,45,81.82,41,91.11,32,94.55,32.0,,0
2023-05-01,N01B,1,1,100.0,1,100.0,1,6600.0,0.0,,0
2023-05-01,N02A,19,18,94.74,17,94.44,17,300.0,14.0,0.0,0
2023-05-01,N02B,13,11,84.62,10,90.91,12,407.69,8.0,,0
2023-05-01,N03A,5,4,80.0,4,100.0,5,980.0,2.0,,0
2023-05-01,N05B,39,37,94.87,35,94.59,34,146.15,29.0,,0
2023-05-01,N05C,7,6,85.71,6,100.0,7,1114.29,5.0,,0
2023-05-01,N06A,9,7,77.78,7,100.0,9,677.78,7.0,0.0,0
2023-05-01,N06B,15,13,86.67,13,100.0,13,493.33,11.0,,0
2023-05-01,N07C,5,5,100.0,5,100.0,4,1560.0,4.0,,0
2023-05-01,R01A,10,2,20.0,2,100.0,10,560.0,4.0,0.0,1
2023-05-01,R03A,18,12,66.67,12,100.0,15,294.44,14.0,0.0,1
2023-05-01,R03B,8,7,87.5,6,85.71,7,731.25,8.0,0.0,0
2023-05-01,R03D,15,11,73.33,11,100.0,13,360.0,12.0,0.0,0
2023-05-01,R05C,4,2,50.0,1,50.0,4,1237.5,4.0,0.0,1
2023-05-01,R05D,3,2,66.67,1,50.0,3,1833.33,3.0,,1
2023-05-01,R05F,1,0,0.0,0,,1,6500.0,1.0,,1
2023-05-01,R06A,16,9,56.25,8,88.89,15,375.0,9.0,0.0,1
